Country_and_Time_Period,Migration Change,% Expenditure on healthcare,Infrastructure as % of GDP,Taxing Wages,Infant Mortality,Change in Unemployment,GDP Growth,Life Expectancy
Australia 2001,0.193461381,7.704,0.8,21.2,5.2,0.417217144,1.92866859,79.63414634
Australia 2002,-0.068792668,7.8939,0.9,21.53,5.3,-0.347638251,3.100573613,80.06219512
Australia 2003,0.036370507,7.8996,1,21.96,5,-0.383957885,3.49120862,79.84817073
Australia 2004,0.186612214,8.1103,1.2,18.63,4.8,-0.425177783,4.156584913,80.4902439
Australia 2005,0.104431136,7.9778,1.3,20.8,4.7,-0.258171292,3.216467335,80.84146341
Australia 2006,0.089474075,7.9862,1.3,20.49,5,-0.153320174,2.990667578,81.04146341
Australia 2007,0.075395136,8.06,1.4,19.6,4.7,-0.358275818,3.760144101,81.29268293
Australia 2008,0.075909019,8.2688,1.5,19.08,4.2,-0.140793866,3.702292955,81.39512195
Australia 2009,0.091713509,8.5994,1.6,17.96,4.1,1.185237214,1.731817915,81.54390244
Australia 2010,-0.071248854,8.4533,1.5,17.98,4.3,-0.219300169,1.962366101,81.69512195
Australia 2011,0.019302031,8.6071,1.8,17.87,4.1,-0.121089475,2.321478902,81.89512195
Australia 2012,0.150357848,8.7915,1.9,18.55,3.8,0.191418568,3.727818428,82.04634146
Australia 2013,0.037581894,8.1505,1.6,19.86,3.3,0.36569532,2.511938261,82.19756098
Austria 2001,0.133911514,9.2875,0.8,35.8,4.8,0.005623353,1.350512043,78.57560976
Austria 2002,0.151873345,9.4127,0.8,36.11,4.8,0.356557461,2.06565283,78.87804878
Austria 2003,0.083546155,9.5829,0.8,36.36,4.1,0.237071829,2.304033092,78.72682927
Austria 2004,0.116829689,9.6473,0.9,37.16,4.5,1.03190946,2.705728356,79.1804878
Austria 2005,-0.059963931,9.5819,0.8,37.35,4.5,0.175981293,2.140718091,79.33170732
Austria 2006,-0.154048676,9.4818,0.9,37.83,4.2,-0.390028565,3.350825444,79.8804878
Austria 2007,0.104307651,9.4783,0.8,38.29,3.6,-0.375135418,3.621477457,80.1804878
Austria 2008,0.030826033,9.6347,0.9,38.68,3.7,-0.644259043,1.547294053,80.43170732
Austria 2009,-0.028696168,10.1421,1,36.43,3.7,0.972607039,-3.799099689,80.33170732
Austria 2010,0.057124154,10.1267,0.8,36.74,3.8,-0.405130609,1.880117659,80.5804878
Austria 2011,0.134422474,9.9061,0.8,37.36,3.9,-0.088628142,3.071425817,80.98292683
Austria 2012,0.142684291,10.0909,0.6,37.78,3.6,0.192934239,0.883846197,80.93658537
Austria 2013,0.071161298,10.0997,0.6,38.26,3.2,0.419517597,0.228021381,80.8902439
Belgium 2001,0.151479187,8.1205,0.8,43.91,4.8,-0.466517315,0.924198231,77.97317073
Belgium 2002,0.064510262,8.2785,0.8,43.61,4.6,0.807770387,2.084279821,78.42560976
Belgium 2003,-0.020361669,9.1026,0.8,42.22,4.5,0.619589149,2.470973684,78.19939024
Belgium 2004,0.052994186,9.1002,0.9,43.6,4.1,0.24124618,3.434787675,78.87804878
Belgium 2005,0.068533804,9.0151,0.8,41.29,3.9,0.323032213,1.893853556,78.9804878
Belgium 2006,0.077792562,8.9319,0.8,41.24,3.7,-0.215323069,2.630146232,79.3804878
Belgium 2007,0.119305311,9.004,0.6,41.17,4,-0.549099515,3.000341023,79.78292683
Belgium 2008,0.135190123,9.3635,0.7,41.62,3.9,-0.518258938,0.953468801,79.6804878
Belgium 2009,-0.031109686,10.1258,0.8,41.51,3.8,0.845795399,-2.618664789,79.98292683
Belgium 2010,0.105808361,9.8889,0.7,42.21,3.5,0.613017084,2.501054567,80.23414634
Belgium 2011,0.038439189,10.1311,0.7,42.37,3.6,-1.260914682,1.618317967,80.58536585
Belgium 2012,-0.067428019,10.2053,0.7,42.44,3.4,0.460953113,0.092812881,80.38536585
Belgium 2013,-0.042418901,10.2372,0.7,41.89,3.8,1.021615651,0.291113561,80.38536585
Canada 2001,0.10193225,8.6986,0.6,25.4,5.3,0.534173935,1.6883736,79.48780488
Canada 2002,-0.086662145,8.9522,0.6,25.52,5.2,0.346240338,2.663430166,79.81463415
Canada 2003,-0.033706245,9.09,0.6,25.03,5.4,-0.010865049,2.988449021,79.65121951
Canada 2004,0.065279404,9.1401,0.6,25.29,5.3,-0.319830247,3.138786775,80.14146341
Canada 2005,0.112135731,9.105,0.7,25.2,5.3,-0.301173114,3.163130123,80.29268293
Canada 2006,-0.040447672,9.2638,0.7,25.45,5.4,-0.19227688,2.621779104,80.64390244
Canada 2007,-0.059041544,9.3715,0.8,24.01,5,-0.357313303,2.008315698,80.36987805
Canada 2008,0.044142507,9.5353,0.9,23.93,5.1,-0.022036632,1.17542339,80.54321951
Canada 2009,0.019614272,10.6141,1.2,22.97,5.1,2.056698182,-2.711467282,80.71709756
Canada 2010,0.112416687,10.5937,1.3,23.17,4.9,-0.177892321,3.374248555,80.8934878
Canada 2011,-0.113817222,10.2662,1.2,23.43,5,-0.324354905,2.96010266,81.06831707
Canada 2012,0.036684318,10.2176,1.1,23.7,4.8,-0.234158753,1.922864994,81.23804878
Canada 2013,0.004004178,10.1574,1,23.97,4.9,-0.127260481,2.003508162,81.40112195
Chile 2001,0.543354143,6.5087,1.5,4.86,8.9,-0.071343403,3.348180391,77.13104878
Chile 2002,0.035195685,6.4757,1.5,4.87,8.3,-0.097238859,4.982906554,77.54542683
Chile 2003,-0.003573576,7.3154,1.5,4.88,7.8,-0.224447647,5.527815275,77.3382378
Chile 2004,0.075884029,6.8965,1.6,4.9,7.8,0.241173589,6.041086739,77.95980488
Chile 2005,0.188479392,6.6414,1.6,4.95,8.4,-0.656500737,5.559452531,78.13721951
Chile 2006,0.271750242,6.106,1.4,4.93,7.9,-0.140079659,4.40497269,78.2897561
Chile 2007,0.636099431,6.2625,1,4.48,7.6,-0.593248571,5.1608256,78.44297561
Chile 2008,-0.138541391,6.8482,1,4.53,8.3,0.744300329,3.292454897,78.61741463
Chile 2009,-0.165560105,7.3104,0.8,4.53,7.8,1.565926643,-1.036431779,78.81858537
Chile 2010,0.120243958,6.8781,1.1,4.83,7.9,-1.380372727,5.753708903,79.05046341
Chile 2011,0.194258448,6.8968,0.9,4.83,7.4,-0.7570405,5.839640585,79.3065122
Chile 2012,0.376632564,7.1385,0.2,4.84,7.7,-0.588392791,5.457130618,79.57265854
Chile 2013,0.204722264,7.3808,0.2,4.76,7.6,-0.351674658,4.226190624,79.83680488
Czech  Republic 2001,1.678731961,5.9006,0.9,32.68,4.1,-0.142913581,3.051521405,75.17317073
Czech Republic 2002,2.854808796,6.2151,1.2,33.12,4,-1.475401008,4.813746188,75.44756098
Czech Republic 2003,0.315936584,6.576,1.2,34.25,4.1,0.509000522,5.401154449,75.31036585
Czech Republic 2004,-0.115498451,6.3955,1.5,35.57,3.9,0.374412758,4.947454577,75.72195122
Czech Republic 2005,0.15298008,6.3946,1.7,35.07,3.7,-0.014666108,6.442262581,75.92439024
Czech Republic 2006,0.128875307,6.2055,1.6,33.46,3.4,-0.820949767,6.876544673,76.52439024
Czech Republic 2007,0.55026087,6.0291,1.5,29.42,3.3,-2.271571971,5.529266605,76.72439024
Czech Republic 2008,-0.240891221,6.3736,2,30.51,3.1,-0.797453235,2.710956215,76.97560976
Czech Republic 2009,-0.48632047,7.3089,1.9,30.23,2.8,2.730227822,-4.841786335,77.07804878
Czech Republic 2010,-0.236609712,6.9435,1.5,30.29,2.9,0.538789647,2.295089115,77.42439024
Czech Republic 2011,-0.25970834,6.9964,1.1,33.18,2.7,-0.338626815,1.963780536,77.87317073
Czech Republic 2012,0.341212926,7.0574,0.8,32.57,2.7,0.596408252,-0.808400773,78.07560976
Czech Republic 2013,-0.024307786,7.0968,0.6,32.56,2.6,-0.249694721,-0.701654025,78.27804878
